iter	Accuracy	MultiClass
137	0.7105	0.6278546902
138	0.7109375	0.6275423311
139	0.71125	0.627182022
140	0.7115625	0.6267636098
141	0.7114375	0.6265752513
142	0.7115625	0.6263942752
143	0.7115625	0.6262034701
144	0.711625	0.6259530953
145	0.711625	0.6258075356
146	0.7116875	0.6256356167
147	0.7120625	0.6253213712
148	0.71175	0.6250998601
149	0.71175	0.6247298956
150	0.71175	0.6244624463
151	0.712	0.6243920055
152	0.712125	0.6242169117
153	0.712125	0.6240397353
154	0.7121875	0.624039388
155	0.712	0.6239293875
156	0.7118125	0.6237917651
157	0.7118125	0.6237886216
158	0.711625	0.6237554553
159	0.712	0.6234910522
160	0.7119375	0.6233181137
161	0.7120625	0.6232401387
162	0.7123125	0.6229422757
163	0.7125	0.6227368442
164	0.71275	0.6226715373
165	0.7126875	0.6223110314
166	0.7130625	0.6220770712
167	0.713	0.6217995468
168	0.71325	0.6215813439
169	0.7131875	0.6215623814
170	0.7135	0.6210780853
171	0.714	0.6207352749
172	0.71425	0.6205980471
173	0.7146875	0.6204311388
174	0.7145625	0.6201044766
175	0.7145	0.6200378194
176	0.7145	0.6200374878
177	0.7146875	0.6199272691
178	0.714625	0.6197590357
179	0.714875	0.6194764661
180	0.7146875	0.6192810792
181	0.7153125	0.6188728691
182	0.7155625	0.6186178708
183	0.715375	0.6185355686
184	0.715125	0.6182203322
185	0.7155	0.618099176
186	0.715625	0.6178536861
187	0.715875	0.6177366753
188	0.7156875	0.6176411976
189	0.71575	0.6174844019
190	0.7156875	0.6173700737
191	0.716	0.6170672847
192	0.7158125	0.6168382327
193	0.71575	0.6165691416
194	0.715625	0.6164526573
195	0.716	0.6161781915
196	0.7160625	0.615966743
197	0.7165	0.6155365875
198	0.7165	0.6154133422
199	0.71675	0.6150123919
200	0.7165625	0.6148088277
201	0.716375	0.6146376071
202	0.7171875	0.6143453955
203	0.717125	0.6142735908
204	0.7171875	0.6140405202
205	0.7173125	0.6139004386
206	0.717625	0.6136176457
207	0.718	0.613183971
208	0.7180625	0.6130684686
209	0.718	0.6127474603
210	0.7181875	0.6126594238
211	0.71825	0.6125344749
212	0.718125	0.612218577
213	0.718375	0.6120810988
